STATE_CODE,SHRP_ID,CONSTRUCTION_DATE,TRAFFIC_OPEN_DATE,ORIGINAL_NO_LANES,FINAL_NO_LANES,LANE_ADDED_NO
1,1021,1985-06-01,1985-06-01,,,
1,4125,1972-06-01,1972-06-01,,,
1,4126,1988-04-01,1988-04-01,,,
5,3048,1981-12-01,1981-12-01,,,
6,1253,1970-07-01,1970-07-01,,,
6,2004,1976-10-01,1976-10-01,,,
6,2647,1976-09-01,1976-09-01,,,
6,8151,1973-06-01,1973-06-01,,,
6,8201,1971-06-01,1971-06-01,,,
12,1060,1979-10-01,1979-10-01,,,
12,3995,1975-12-01,1975-12-01,,,
12,3996,1974-04-01,1974-06-01,,,
12,4097,1985-11-01,1986-01-01,,,
12,4099,1976-06-01,1976-06-01,,,
12,4103,1982-06-01,1982-06-01,,,
12,4105,1984-12-01,1984-12-01,,,
12,4107,1983-10-01,1983-10-01,,,
12,4108,1986-06-01,1986-06-01,,,
12,9054,1974-10-01,1974-10-01,,,
13,4111,1980-11-01,1980-11-01,,,
15,1003,1984-02-01,1984-02-01,,,
15,1006,1980-07-01,1980-07-01,,,
15,1008,1984-05-01,1984-05-01,,,
15,7080,1975-03-01,1975-03-01,,,
16,1021,1985-10-01,1985-10-01,,,
17,1003,1986-10-01,1986-11-01,,,
18,2009,1981-01-01,1981-01-01,,,
23,1012,1985-08-01,1985-09-01,,,
26,1001,1971-09-01,1971-09-01,,,
26,1010,1975-07-01,1975-08-01,,,
27,1029,1970-01-01,1970-01-01,,,
28,1016,1986-11-01,1986-11-01,,,
28,3082,1989-09-01,1989-10-01,,,
28,3083,1978-11-01,1978-11-01,,,
29,1005,1974-05-01,1974-05-01,,,
30,1001,1982-08-01,1982-08-01,,,
34,1638,1985-09-01,1985-11-01,,,
35,1022,1986-10-01,1986-10-01,,,
35,1112,1984-06-01,1984-06-01,,,
35,2006,1982-07-01,1982-07-01,,,
37,1030,1984-12-01,1984-12-01,,,
40,1015,1978-04-01,1978-04-01,,,
40,1017,1981-10-01,1981-10-01,,,
40,4165,1984-06-01,1984-06-01,,,
45,1008,1970-05-01,1970-05-01,,,
47,3075,1971-06-01,1971-06-01,,,
48,1049,1984-06-01,1984-06-01,,,
48,1060,1986-03-01,1986-03-01,,,
48,3559,1970-06-01,1970-06-01,,,
48,3609,1974-06-01,1974-06-01,,,
50,1002,1984-08-01,1984-11-01,,,
53,1501,1982-07-01,1982-07-01,,,
56,2018,1983-10-01,1983-10-01,,,
85,1801,1984-09-01,1984-09-01,1.0,2.0,1.0
85,1808,1983-09-01,1983-09-01,,,
