VISIT_DATE,CONSTRUCTION_NO,STATE_CODE,STATE_CODE_EXP,VISIT_NO,SHRP_ID,MRI
1999-05-11,1,1,Alabama,01412605,4126,0.9980000257492065
1999-05-11,1,1,Alabama,01412605,4126,0.9800000190734863
1999-06-17,1,1,Alabama,01102105,1021,1.1349999904632568
1999-04-20,1,1,Alabama,01412506,4125,1.2649999856948853
1999-05-11,1,1,Alabama,01412605,4126,0.9879999756813049
1995-12-19,1,1,Alabama,01412505,4125,1.13100004196167
1999-05-11,1,1,Alabama,01412605,4126,1.003000020980835
1995-12-19,1,1,Alabama,01412505,4125,1.0809999704360962
1999-05-11,1,1,Alabama,01412605,4126,1.0210000276565552
1995-12-19,1,1,Alabama,01412505,4125,1.100000023841858
1995-12-19,1,1,Alabama,01412505,4125,1.100000023841858
1992-02-10,1,1,Alabama,01412602,4126,0.8399999737739563
1990-12-06,1,1,Alabama,01412601,4126,0.8169999718666077
1992-04-03,1,1,Alabama,01102102,1021,0.9319999814033508
1990-12-11,1,1,Alabama,01412502,4125,0.9660000205039978
1995-12-13,1,1,Alabama,01102104,1021,1.0140000581741333
1990-06-06,1,1,Alabama,01102101,1021,0.9710000157356262
1990-06-07,1,1,Alabama,01412501,4125,0.9350000023841858
1994-08-23,1,1,Alabama,01412504,4125,1.0889999866485596
1992-02-10,1,1,Alabama,01412602,4126,0.8159999847412109
1996-01-09,1,1,Alabama,01412604,4126,0.953000009059906
1996-01-09,1,1,Alabama,01412604,4126,0.9459999799728394
1995-12-13,1,1,Alabama,01102104,1021,0.9829999804496765
1992-04-03,1,1,Alabama,01102102,1021,0.9549999833106995
1996-01-09,1,1,Alabama,01412604,4126,0.949999988079071
1990-06-06,1,1,Alabama,01102101,1021,0.9760000109672546
1994-02-02,1,1,Alabama,01412603,4126,0.828000009059906
1990-12-06,1,1,Alabama,01412601,4126,0.8050000071525574
1999-04-20,1,1,Alabama,01412506,4125,1.246000051498413
1990-12-06,1,1,Alabama,01412601,4126,0.824999988079071
1994-08-23,1,1,Alabama,01412504,4125,1.0859999656677246
1995-12-19,1,1,Alabama,01412505,4125,1.1089999675750732
