STATE_CODE,SHRP_ID,CONSTRUCTION_NO,LAYER_TYPE_EXP,REPR_THICKNESS
1,1021,1,Asphalt concrete layer,25.4
1,4125,1,Asphalt concrete layer,20.3
1,4126,1,Asphalt concrete layer,35.6
1,1021,1,Asphalt concrete layer,53.3
1,4126,1,Asphalt concrete layer,297.2
1,4125,1,Asphalt concrete layer,66.0
5,3048,1,Asphalt concrete layer,48.3
5,3048,1,Asphalt concrete layer,73.7
6,1253,1,Asphalt concrete layer,91.4
6,2004,1,Asphalt concrete layer,86.4
6,2647,1,Asphalt concrete layer,94.0
6,8151,1,Asphalt concrete layer,104.1
6,8201,1,Asphalt concrete layer,114.3
12,1060,1,Asphalt concrete layer,25.4
12,3995,1,Asphalt concrete layer,27.9
12,3996,1,Asphalt concrete layer,38.1
12,4097,1,Asphalt concrete layer,58.4
12,4099,1,Asphalt concrete layer,27.9
12,4103,1,Asphalt concrete layer,55.9
12,4105,1,Asphalt concrete layer,50.8
12,4107,1,Asphalt concrete layer,53.3
12,4108,1,Asphalt concrete layer,86.4
12,9054,1,Asphalt concrete layer,63.5
12,1060,1,Asphalt concrete layer,76.2
12,3995,1,Asphalt concrete layer,99.1
12,4097,1,Asphalt concrete layer,58.4
12,4099,1,Asphalt concrete layer,63.5
13,4111,1,Asphalt concrete layer,205.7
15,1003,1,Asphalt concrete layer,53.3
15,1006,1,Asphalt concrete layer,55.9
15,1008,1,Asphalt concrete layer,50.8
15,7080,1,Asphalt concrete layer,96.5
15,1003,1,Asphalt concrete layer,63.5
15,1006,1,Asphalt concrete layer,58.4
15,1008,1,Asphalt concrete layer,61.0
16,1021,1,Asphalt concrete layer,142.2
17,1003,1,Asphalt concrete layer,33.0
17,1003,1,Asphalt concrete layer,119.4
17,1003,1,Asphalt concrete layer,94.0
17,1003,1,Asphalt concrete layer,63.5
18,2009,1,Asphalt concrete layer,61.0
18,2009,1,Asphalt concrete layer,83.8
23,1012,1,Asphalt concrete layer,33.0
23,1012,1,Asphalt concrete layer,203.2
26,1001,1,Asphalt concrete layer,55.9
26,1010,1,Asphalt concrete layer,20.3
26,1010,1,Asphalt concrete layer,35.6
27,1029,1,Asphalt concrete layer,45.7
27,1029,1,Asphalt concrete layer,167.6
28,1016,1,Asphalt concrete layer,20.3
28,3082,1,Asphalt concrete layer,40.6
28,3083,1,Asphalt concrete layer,40.6
28,1016,1,Asphalt concrete layer,137.2
28,3082,1,Asphalt concrete layer,55.9
28,1016,1,Asphalt concrete layer,35.6
28,3082,1,Asphalt concrete layer,86.4
29,1005,1,Asphalt concrete layer,25.4
29,1005,1,Asphalt concrete layer,152.4
29,1005,1,Asphalt concrete layer,48.3
30,1001,1,Asphalt concrete layer,68.6
34,1638,1,Asphalt concrete layer,61.0
34,1638,1,Asphalt concrete layer,172.7
35,1022,1,Asphalt concrete layer,139.7
35,1112,1,Asphalt concrete layer,137.2
35,2006,1,Asphalt concrete layer,114.3
37,1030,1,Asphalt concrete layer,101.6
40,1015,1,Asphalt concrete layer,35.6
40,1017,1,Asphalt concrete layer,43.2
40,4165,1,Asphalt concrete layer,68.6
45,1008,1,Asphalt concrete layer,38.1
45,1008,1,Asphalt concrete layer,55.9
47,3075,1,Asphalt concrete layer,17.8
47,3075,1,Asphalt concrete layer,78.7
47,3075,1,Asphalt concrete layer,30.5
48,3609,1,Asphalt concrete layer,40.6
48,1049,1,Asphalt concrete layer,25.4
48,1060,1,Asphalt concrete layer,43.2
48,3559,1,Asphalt concrete layer,15.2
48,3609,1,Asphalt concrete layer,58.4
48,1049,1,Asphalt concrete layer,91.4
48,1060,1,Asphalt concrete layer,147.3
50,1002,1,Asphalt concrete layer,76.2
50,1002,1,Asphalt concrete layer,139.7
53,1501,1,Asphalt concrete layer,48.3
56,2018,1,Asphalt concrete layer,124.5
85,1801,1,Asphalt concrete layer,35.6
85,1808,1,Asphalt concrete layer,81.3
85,1801,1,Asphalt concrete layer,45.7
6,2004,1,Asphalt concrete layer,17.8
6,8151,1,Asphalt concrete layer,10.2
12,4097,1,Asphalt concrete layer,10.2
12,4103,1,Asphalt concrete layer,17.8
12,4105,1,Asphalt concrete layer,7.6
12,4107,1,Asphalt concrete layer,15.2
12,4108,1,Asphalt concrete layer,12.7
13,4111,1,Asphalt concrete layer,17.8
35,1022,1,Asphalt concrete layer,20.3
35,1112,1,Asphalt concrete layer,20.3
35,2006,1,Asphalt concrete layer,15.2
56,2018,1,Asphalt concrete layer,22.9
53,1501,1,Asphalt concrete layer,61.0
1,4125,1,Asphalt concrete layer,7.6
5,3048,1,Asphalt concrete layer,10.2
6,1253,1,Asphalt concrete layer,5.1
6,2647,1,Asphalt concrete layer,2.5
6,8151,1,Asphalt concrete layer,7.6
6,8201,1,Asphalt concrete layer,5.1
12,4097,1,Asphalt concrete layer,17.8
16,1021,1,Asphalt concrete layer,7.6
28,3083,1,Asphalt concrete layer,12.7
30,1001,1,Asphalt concrete layer,2.5
48,1049,1,Asphalt concrete layer,12.7
48,3609,1,Asphalt concrete layer,7.6
48,3559,1,Asphalt concrete layer,7.6
18,2009,1,Asphalt concrete layer,12.7
12,4097,1,Asphalt concrete layer,25.4
12,4097,1,Asphalt concrete layer,25.4
48,3609,1,Subgrade (untreated),
5,3048,1,Subgrade (untreated),
17,1003,1,Subgrade (untreated),
13,4111,1,Subgrade (untreated),
29,1005,1,Subgrade (untreated),
18,2009,1,Subgrade (untreated),
15,1006,1,Subgrade (untreated),457.2
26,1010,1,Subgrade (untreated),
40,1017,1,Subgrade (untreated),
1,1021,1,Subgrade (untreated),
15,1003,1,Subgrade (untreated),1854.2
12,4108,1,Subgrade (untreated),
12,3995,1,Subgrade (untreated),
12,4099,1,Subgrade (untreated),
12,4105,1,Subgrade (untreated),
12,9054,1,Subgrade (untreated),
26,1001,1,Subgrade (untreated),
28,3082,1,Subgrade (untreated),
28,3083,1,Subgrade (untreated),
35,1112,1,Subgrade (untreated),
37,1030,1,Subgrade (untreated),
12,3996,1,Subgrade (untreated),
12,4107,1,Subgrade (untreated),
27,1029,1,Subgrade (untreated),
35,1022,1,Subgrade (untreated),
6,8151,1,Subgrade (untreated),2438.4
34,1638,1,Subgrade (untreated),
1,4126,1,Subgrade (untreated),3352.8
12,4103,1,Subgrade (untreated),
12,4097,1,Subgrade (untreated),
23,1012,1,Subgrade (untreated),
28,1016,1,Subgrade (untreated),
35,2006,1,Subgrade (untreated),
40,1015,1,Subgrade (untreated),
40,4165,1,Subgrade (untreated),
45,1008,1,Subgrade (untreated),
48,1049,1,Subgrade (untreated),
48,1060,1,Subgrade (untreated),
48,3559,1,Subgrade (untreated),
6,2004,1,Subgrade (untreated),
6,8201,1,Subgrade (untreated),3962.4
56,2018,1,Subgrade (untreated),5334.0
1,4125,1,Subgrade (untreated),
6,2647,1,Subgrade (untreated),
15,7080,1,Subgrade (untreated),431.8
15,1008,1,Subgrade (untreated),500.4
16,1021,1,Subgrade (untreated),762.0
50,1002,1,Subgrade (untreated),
12,1060,1,Subgrade (untreated),
85,1808,1,Subgrade (untreated),762.0
85,1801,1,Subgrade (untreated),1371.6
47,3075,1,Subgrade (untreated),
53,1501,1,Subgrade (untreated),1676.4
6,1253,1,Subgrade (untreated),375.9
30,1001,1,Subgrade (untreated),
18,2009,1,Unbound (granular) subbase,241.3
23,1012,1,Unbound (granular) base,335.3
26,1001,1,Unbound (granular) base,276.9
26,1010,1,Unbound (granular) base,289.6
15,1003,1,Unbound (granular) base,261.6
15,1006,1,Unbound (granular) base,198.1
15,1008,1,Unbound (granular) base,215.9
15,7080,1,Unbound (granular) base,106.7
15,7080,1,Unbound (granular) subbase,0.0
15,7080,1,Unbound (granular) subbase,114.3
15,1003,1,Unbound (granular) subbase,345.4
15,1008,1,Unbound (granular) subbase,226.1
29,1005,1,Unbound (granular) base,99.1
45,1008,1,Unbound (granular) base,198.1
47,3075,1,Unbound (granular) base,233.7
48,1060,1,Unbound (granular) base,312.4
85,1801,1,Unbound (granular) base,251.5
85,1801,1,Unbound (granular) subbase,284.5
6,1253,1,Unbound (granular) base,388.6
16,1021,1,Unbound (granular) base,134.6
30,1001,1,Unbound (granular) base,353.1
50,1002,1,Unbound (granular) base,655.3
53,1501,1,Unbound (granular) base,162.6
53,1501,1,Unbound (granular) subbase,144.8
85,1808,1,Unbound (granular) base,114.3
85,1808,1,Unbound (granular) subbase,431.8
12,4105,1,Unbound (granular) subbase,337.8
23,1012,1,Unbound (granular) subbase,502.9
26,1010,1,Unbound (granular) subbase,482.6
6,2004,1,Unbound (granular) subbase,571.5
6,2647,1,Unbound (granular) subbase,312.4
6,8201,1,Unbound (granular) subbase,177.8
1,4126,1,Unbound (granular) base,467.4
1,1021,1,Unbound (granular) subbase,442.0
12,4107,1,Unbound (granular) base,304.8
12,3995,1,Unbound (granular) base,325.1
12,4099,1,Unbound (granular) base,276.9
12,4103,1,Unbound (granular) base,538.5
12,4103,1,Unbound (granular) subbase,144.8
13,4111,1,Unbound (granular) base,208.3
15,1006,1,Unbound (granular) subbase,132.1
15,1008,1,Unbound (granular) subbase,50.8
30,1001,1,Unbound (granular) subbase,233.7
35,1022,1,Unbound (granular) base,269.2
35,1112,1,Unbound (granular) base,162.6
48,3609,1,Unbound (granular) base,167.6
48,3559,1,Unbound (granular) subbase,160.0
56,2018,1,Unbound (granular) subbase,38.1
12,3995,1,Unbound (granular) subbase,304.8
12,4108,1,Unbound (granular) subbase,327.7
12,3996,1,Unbound (granular) subbase,355.6
12,4099,1,Unbound (granular) subbase,274.3
1,4125,1,Unbound (granular) base,165.1
12,9054,1,Unbound (granular) subbase,304.8
28,1016,1,Unbound (granular) base,490.2
35,2006,1,Unbound (granular) subbase,154.9
1,1021,1,Bound (treated) base,114.3
1,4125,1,Bound (treated) base,157.5
12,4097,1,Bound (treated) base,160.0
12,4108,1,Bound (treated) base,152.4
28,3082,1,Bound (treated) base,91.4
37,1030,1,Bound (treated) base,119.4
40,1015,1,Bound (treated) base,205.7
40,1017,1,Bound (treated) base,195.6
40,4165,1,Bound (treated) base,139.7
48,3559,1,Bound (treated) base,154.9
18,2009,1,Bound (treated) base,83.8
35,2006,1,Bound (treated) base,121.9
18,2009,1,Bound (treated) base,165.1
5,3048,1,Bound (treated) base,188.0
6,2004,1,Bound (treated) base,134.6
6,2647,1,Bound (treated) base,134.6
6,8151,1,Bound (treated) base,152.4
6,8201,1,Bound (treated) base,121.9
