STATE_CODE,SHRP_ID,MONITORED_LANE,LANE_WIDTH,SECTION_LENGTH,SPEED_LIMIT,DIRECTION_OF_TRAVEL_EXP
1,4125,1,3.66,152.4,,Westbound
1,1021,1,3.66,152.4,,Westbound
1,4126,1,3.66,152.4,,Southbound
5,3048,1,3.66,152.4,,Southbound
6,1253,1,3.66,152.4,,Eastbound
6,8201,1,3.66,152.4,,Westbound
6,2647,1,3.66,152.4,,Westbound
6,8151,1,3.66,152.4,,Westbound
6,2004,1,3.66,152.4,,Southbound
12,4097,1,3.66,152.4,,Eastbound
12,4099,1,3.66,152.4,,Westbound
12,9054,1,3.66,152.4,,Westbound
12,1060,1,3.66,152.4,,Westbound
12,4108,1,3.66,152.4,,Westbound
12,4107,1,3.66,152.4,,Westbound
12,4103,1,3.66,152.4,,Westbound
12,3995,1,3.66,152.4,,Northbound
12,4105,1,3.66,152.4,,Northbound
12,3996,1,3.66,152.4,,Northbound
13,4111,1,3.66,152.4,,Eastbound
15,1008,1,3.66,152.4,,Eastbound
15,1003,1,3.66,152.4,,Westbound
15,7080,1,3.66,152.4,,Northbound
15,1006,1,3.66,152.4,,Southbound
16,1021,1,4.57,152.4,,Westbound
17,1003,1,3.66,152.4,,Westbound
18,2009,1,3.66,152.4,,Northbound
23,1012,1,3.66,152.4,,Southbound
26,1001,1,3.66,152.4,,Eastbound
26,1010,1,3.66,152.4,,Eastbound
27,1029,1,3.66,152.4,,Northbound
28,3083,1,3.35,152.4,,Eastbound
28,3082,1,3.66,152.4,,Westbound
28,1016,1,3.66,152.4,,Northbound
29,1005,1,3.66,152.4,,Westbound
30,1001,1,3.66,152.4,,Westbound
34,1638,1,3.66,152.4,,Northbound
35,1112,1,3.66,152.4,,Eastbound
35,1022,1,3.66,152.4,,Northbound
35,2006,1,3.66,152.4,,Northbound
37,1030,1,3.66,152.4,,Southbound
40,4165,1,3.66,152.4,,Westbound
40,1015,1,3.66,152.4,,Northbound
40,1017,1,3.66,152.4,,Northbound
45,1008,1,3.66,152.4,,Southbound
47,3075,1,3.66,152.4,,Southbound
48,3609,1,3.66,152.4,,Eastbound
48,3559,1,3.96,152.4,,Eastbound
48,1060,1,3.66,152.4,,Northbound
48,1049,1,3.66,152.4,,Southbound
50,1002,1,3.66,152.4,,Northbound
53,1501,1,3.66,152.4,,Westbound
56,2018,1,3.66,152.4,,Westbound
85,1808,1,3.66,152.4,,Eastbound
85,1801,1,3.66,152.4,,Westbound
