STATE_CODE,SHRP_ID,YEAR,MEAN_ANN_TEMP_AVG,FREEZE_INDEX_YR,FREEZE_THAW_YR
1,1021,1972,17.799999237060547,5,33
1,1021,1973,17.899999618530273,1,44
1,1021,1974,17.700000762939453,0,28
1,1021,1975,17.5,5,35
1,1021,1976,16.0,12,55
1,1021,1977,17.399999618530273,44,55
1,1021,1978,17.100000381469727,13,61
1,1021,1979,16.799999237060547,12,43
1,1021,1980,17.5,7,44
1,1021,1981,17.0,19,48
1,1021,1982,17.899999618530273,22,31
1,1021,1983,16.200000762939453,38,48
1,1021,1984,17.399999618530273,6,45
1,1021,1985,17.600000381469727,23,59
1,1021,1986,18.200000762939453,8,38
1,1021,1987,17.600000381469727,3,38
1,1021,1988,16.799999237060547,5,55
1,1021,1989,17.100000381469727,32,36
1,1021,1990,18.5,2,24
1,1021,1991,17.899999618530273,3,35
1,1021,1992,16.799999237060547,1,36
1,1021,1993,17.399999618530273,5,41
1,1021,1994,17.899999618530273,9,36
1,1021,1995,17.899999618530273,5,53
1,1021,1996,17.0,40,52
1,1021,1997,17.299999237060547,6,35
1,1021,1998,18.799999237060547,0,24
1,1021,1999,18.100000381469727,8,39
1,1021,2000,17.899999618530273,17,54
1,1021,2001,17.5,6,43
1,1021,2002,17.799999237060547,3,49
1,1021,2003,17.5,11,48
1,1021,2004,17.899999618530273,2,42
1,1021,2005,17.700000762939453,0,41
1,1021,2006,18.299999237060547,0,36
1,1021,2007,18.399999618530273,1,41
1,1021,2008,17.799999237060547,5,56
1,1021,2009,17.799999237060547,6,42
1,1021,2010,17.600000381469727,27,70
1,1021,2011,18.0,8,48
1,1021,2012,18.299999237060547,1,29
1,4125,1972,18.299999237060547,4,28
1,4125,1973,18.399999618530273,1,38
1,4125,1974,18.200000762939453,0,25
1,4125,1975,18.200000762939453,3,32
1,4125,1976,16.600000381469727,8,52
1,4125,1977,18.0,36,47
1,4125,1978,17.700000762939453,5,51
1,4125,1979,17.399999618530273,5,39
1,4125,1980,17.899999618530273,3,41
1,4125,1981,17.600000381469727,13,41
1,4125,1982,18.600000381469727,21,26
1,4125,1983,16.899999618530273,32,36
1,4125,1984,18.100000381469727,4,39
1,4125,1985,18.200000762939453,23,54
1,4125,1986,18.700000762939453,6,36
1,4125,1987,18.100000381469727,2,35
1,4125,1988,17.399999618530273,4,53
1,4125,1989,17.700000762939453,29,32
1,4125,1990,19.100000381469727,1,22
1,4125,1991,18.399999618530273,2,37
1,4125,1992,17.399999618530273,0,31
1,4125,1993,17.899999618530273,3,33
1,4125,1994,18.399999618530273,5,32
1,4125,1995,18.299999237060547,3,44
1,4125,1996,17.399999618530273,32,46
1,4125,1997,17.700000762939453,5,31
1,4125,1998,19.200000762939453,0,23
1,4125,1999,18.399999618530273,7,33
1,4125,2000,18.200000762939453,14,48
1,4125,2001,17.799999237060547,5,39
1,4125,2002,18.200000762939453,2,43
1,4125,2003,17.700000762939453,9,47
1,4125,2004,18.5,1,40
1,4125,2005,18.0,0,41
1,4125,2006,18.5,0,37
1,4125,2007,18.700000762939453,2,40
1,4125,2008,18.0,3,50
1,4125,2009,18.0,2,40
1,4125,2010,17.799999237060547,22,69
1,4125,2011,17.600000381469727,9,53
1,4125,2012,17.899999618530273,3,32
1,4126,1948,17.700000762939453,5,22
1,4126,1949,16.799999237060547,9,59
1,4126,1950,16.100000381469727,37,72
1,4126,1951,16.100000381469727,54,63
1,4126,1952,16.200000762939453,9,67
1,4126,1953,16.5,17,63
1,4126,1954,15.699999809265137,13,77
1,4126,1955,15.600000381469727,47,82
1,4126,1956,16.0,8,79
1,4126,1957,15.899999618530273,33,59
1,4126,1958,14.600000381469727,109,78
1,4126,1959,15.699999809265137,54,70
1,4126,1960,14.699999809265137,76,90
1,4126,1961,15.100000381469727,42,62
1,4126,1962,15.600000381469727,91,74
1,4126,1963,14.800000190734863,117,92
1,4126,1964,15.399999618530273,43,83
1,4126,1965,15.800000190734863,53,74
1,4126,1966,14.899999618530273,69,67
1,4126,1967,15.0,24,70
1,4126,1968,14.5,57,96
1,4126,1969,14.699999809265137,25,91
1,4126,1970,15.399999618530273,85,73
1,4126,1971,15.600000381469727,52,59
1,4126,1972,15.699999809265137,34,56
1,4126,1973,16.100000381469727,39,59
1,4126,1974,16.0,3,47
1,4126,1975,15.699999809265137,24,56
1,4126,1976,14.300000190734863,46,81
1,4126,1977,15.699999809265137,123,67
1,4126,1978,15.100000381469727,93,69
1,4126,1979,14.800000190734863,63,69
1,4126,1980,15.199999809265137,59,81
1,4126,1981,15.399999618530273,55,71
1,4126,1982,15.399999618530273,63,70
1,4126,1983,13.800000190734863,65,94
1,4126,1984,15.600000381469727,47,74
1,4126,1985,15.5,92,70
1,4126,1986,16.299999237060547,22,65
1,4126,1987,15.399999618530273,14,78
1,4126,1988,14.699999809265137,63,77
1,4126,1989,15.0,81,64
1,4126,1990,17.0,7,45
1,4126,1991,16.600000381469727,11,61
1,4126,1992,14.699999809265137,13,87
1,4126,1993,14.899999618530273,19,84
1,4126,1994,15.899999618530273,43,56
1,4126,1995,15.399999618530273,46,79
1,4126,1996,15.100000381469727,83,80
1,4126,1997,14.800000190734863,40,76
1,4126,1998,16.200000762939453,13,64
1,4126,1999,16.100000381469727,27,80
