STATE_CODE,SHRP_ID,CONSTRUCTION_NO,YEAR,AADTT_ALL_TRUCKS_TREND
1,4125,1,1977,431
1,4125,1,1981,523
1,4125,1,1972,410
1,4125,1,1974,444
1,4125,1,1975,247
1,4125,1,1978,512
1,4125,1,1973,427
1,4125,1,1976,404
1,4125,1,1980,535
1,4125,1,1979,548
1,1021,1,1994,346
1,4125,1,1987,842
1,4125,1,1989,936
1,4126,1,1989,2416
1,4125,1,1990,636
1,4125,1,1982,536
1,4125,1,1985,703
1,1021,1,1989,359
1,4125,1,1984,680
1,1021,1,1988,365
1,4126,1,1990,2396
1,1021,1,1986,248
1,1021,1,1987,332
1,1021,1,1990,289
1,4125,1,1983,617
1,1021,1,1985,192
1,4125,1,1986,852
1,4125,1,1988,962
1,4126,1,1988,2191
1,1021,1,1993,307
1,4125,1,1994,709
1,4126,1,1994,2696
1,1021,1,1992,307
1,1021,1,1991,298
1,4125,1,1993,701
1,4126,1,1993,2360
1,4125,1,1991,655
1,4126,1,1991,2467
1,1021,1,1996,345
1,4125,1,1992,674
1,4126,1,1992,2541
1,4125,1,1998,805
1,4126,1,1998,3035
1,4125,1,1995,737
1,4126,1,1995,2777
1,1021,1,1997,355
1,1021,1,1998,366
1,4125,1,1996,759
1,4126,1,1996,2860
1,1021,1,1995,323
1,4125,1,1997,782
1,4126,1,1997,2946
1,4125,1,2002,906
1,1021,1,2000,388
1,4125,1,2001,880
1,4125,1,1999,829
1,4126,1,1999,3126
1,4125,1,2000,854
1,4126,1,2000,3219
1,1021,1,1999,377
1,4125,1,2003,933
1,4125,1,2004,961
1,4125,1,2005,990
5,3048,1,1981,49
5,3048,1,1990,77
5,3048,1,1982,81
5,3048,1,1985,60
5,3048,1,1984,54
5,3048,1,1983,36
5,3048,1,1988,69
5,3048,1,1987,60
5,3048,1,1989,76
5,3048,1,1986,63
5,3048,1,1995,92
5,3048,1,1994,92
5,3048,1,1993,87
5,3048,1,1992,82
5,3048,1,1991,81
5,3048,1,1996,86
5,3048,1,1997,117
5,3048,1,1998,54
5,3048,1,2001,193
5,3048,1,1999,151
5,3048,1,2002,144
5,3048,1,2000,147
5,3048,1,2003,153
5,3048,1,2004,124
6,8151,1,1977,408
6,8201,1,1977,42
6,1253,1,1978,65
6,2004,1,1978,737
6,2647,1,1978,336
6,1253,1,1972,52
6,1253,1,1973,52
6,1253,1,1974,52
6,1253,1,1976,54
6,1253,1,1975,52
6,8151,1,1981,527
6,8201,1,1981,47
6,1253,1,1980,63
6,2004,1,1980,916
6,2647,1,1980,336
6,8201,1,1972,11
6,2004,1,1976,558
6,2647,1,1976,284
